name,_id,run_start_time,run_end_time,status,status_message,reduceelectricequipmentloadsbypercentage.elecequip_power_reduction_percent,reducelightingloadsbypercentage.lighting_power_reduction_percent,CompareBaseline.total_electric,CompareBaseline.total_electric_savings,CompareBaseline.total_gas,CompareBaseline.total_gas_savings,OpenStudioResults.electricity_ip,OpenStudioResults.natural_gas_ip,OpenStudioResults.time_setpoint_not_met_during_occupied_cooling,OpenStudioResults.time_setpoint_not_met_during_occupied_heating,OpenStudioResults.time_setpoint_not_met_during_occupied_hours,OpenStudioResults.total_building_area
LHS Autogenerated 8,068f2793-d220-48ab-a29e-383e1b0d483b,2017-05-24T20:07:53.375Z,2017-05-24T20:10:47.808Z,completed,completed normal,-12.163183013049926,0.0,453000.0,-31022.22222222219,62.90662227519487,2.9192767305650094,452999.1569405028,62.91118842315569,,,,53627.846839027006
LHS Autogenerated 104,06ded92e-d0ac-4ff6-a76a-4b5822b4aa87,2017-05-24T20:13:27.991Z,2017-05-24T20:16:05.137Z,completed,completed normal,0.0,-9.990985711632458,434394.44444444444,-12416.666666666628,63.81652671069564,2.0093722950642388,434395.0725297361,63.813179609192694,,,,53627.846839027006
LHS Autogenerated 5,09d4b818-75a5-4747-a037-de8efca4e019,2017-05-24T20:07:53.022Z,2017-05-24T20:10:42.867Z,completed,completed normal,-10.60880564263999,0.0,449022.2222222222,-27044.44444444438,63.25731460971078,2.568584396049097,449020.7394125889,63.25518773621454,,,,53627.846839027006
LHS Autogenerated 119,0ee767af-b617-4d36-b276-8bf999d11842,2017-05-24T20:13:33.791Z,2017-05-24T20:16:18.190Z,completed,completed normal,0.0,-8.917010123627417,433058.3333333333,-11080.555555555504,64.01556830596145,1.8103306997984276,433058.61786866386,64.0147161394266,,,,53627.846839027006
LHS Autogenerated 48,103e1903-b1fd-472b-b466-1fdc09704f61,2017-05-24T20:10:41.328Z,2017-05-24T20:13:19.694Z,completed,completed normal,-9.990276539509175,0.0,447438.8888888889,-25461.111111111066,63.39000900655464,2.435889999205237,447438.6619898472,63.392941711010366,,,,53627.846839027006
LHS Autogenerated 14,1394dc1e-c6f7-4d63-b5e8-7440cb5042d0,2017-05-24T20:07:53.875Z,2017-05-24T20:10:43.815Z,completed,completed normal,-9.696608801085718,0.0,446694.44444444444,-24716.666666666628,63.456356204976586,2.369542800783293,446694.9044470694,63.460568776556535,,,,53627.846839027006
LHS Autogenerated 65,1a67aa89-1664-4377-b978-3aa935be732b,2017-05-24T20:10:46.189Z,2017-05-24T20:13:35.617Z,completed,completed normal,-13.230469240126562,0.0,455741.6666666667,-33763.888888888876,62.67914616631966,3.146752839440218,455741.1942152,62.68328406682907,,,,53627.846839027006
LHS Autogenerated 27,1bd195b5-eaa0-44f5-bbd5-00658c7b35a1,2017-05-24T20:07:55.284Z,2017-05-24T20:10:46.682Z,completed,completed normal,-6.44126174688308,0.0,438375.0,-16397.22222222219,64.19565355882098,1.6302454469389005,438375.7646146472,64.20020033714374,,,,53627.846839027006
LHS Autogenerated 73,1c31da44-7f74-4288-a56f-cc159c384584,2017-05-24T20:10:47.650Z,2017-05-24T20:13:26.539Z,completed,completed normal,-8.241986181108635,0.0,442969.44444444444,-20991.666666666628,63.77861402588312,2.047284979876757,442968.18975925277,63.77883149631317,,,,53627.846839027006
LHS Autogenerated 101,206f78b8-deba-44d1-a461-71452b6cd960,2017-05-24T20:13:27.257Z,2017-05-24T20:16:03.690Z,completed,completed normal,0.0,-12.777508205901372,437858.3333333333,-15880.555555555504,63.304705465726464,2.5211935400334156,437858.85960672225,63.306909894548134,,,,53627.846839027006
