name,_id,run_start_time,run_end_time,status,status_message,reduceelectricequipmentloadsbypercentage.elecequip_power_reduction_percent,reducelightingloadsbypercentage.lighting_power_reduction_percent,CompareBaseline.total_electric,CompareBaseline.total_electric_savings,CompareBaseline.total_gas,CompareBaseline.total_gas_savings,OpenStudioResults.electricity_ip,OpenStudioResults.natural_gas_ip,OpenStudioResults.time_setpoint_not_met_during_occupied_cooling,OpenStudioResults.time_setpoint_not_met_during_occupied_heating,OpenStudioResults.time_setpoint_not_met_during_occupied_hours,OpenStudioResults.total_building_area
LHS Autogenerated 167,00f1e771-54f1-43e0-bb8c-967c807bdaa8,2017-05-25T17:03:17.118Z,2017-05-25T17:05:54.150Z,completed,completed normal,0.0,11.630430859143042,407586.1111111111,14391.666666666686,68.58404682587162,-2.758147820111745,407586.9456128528,68.58815553604012,,,,53627.846839027006
LHS Autogenerated 150,02889441-a363-45f4-b7b5-c87fdbbdf7d9,2017-05-25T17:03:11.589Z,2017-05-25T17:05:55.598Z,completed,completed normal,0.0,13.490858881283241,405291.6666666667,16686.111111111124,69.07691172843455,-3.2510127226746732,405291.0437765,69.07814993720498,,,,53627.846839027006
LHS Autogenerated 181,02a2de9c-8174-42d5-bd5f-4aff2f9faac2,2017-05-25T17:05:36.784Z,2017-05-25T17:07:25.817Z,completed,completed normal,0.0,8.369399406577367,411622.2222222222,10355.55555555562,67.76892410240218,-1.9430250966423017,411622.9946437889,67.76666035625637,,,,53627.846839027006
LHS Autogenerated 1,06556c36-f45f-4c8f-8590-943c0a5f1bc0,2017-05-25T16:54:58.637Z,2017-05-25T16:57:40.718Z,completed,completed normal,7.6932753850621,0.0,402544.44444444444,19433.333333333372,68.08170375210558,-2.255804746345703,402544.6950691611,68.0861416437095,,,,53627.846839027006
LHS Autogenerated 141,06ef1716-8e65-4d8b-babb-ce1471764159,2017-05-25T17:03:06.763Z,2017-05-25T17:05:42.227Z,completed,completed normal,0.0,10.732090233130304,408702.7777777778,13275.0,68.35657071699644,-2.5306717112365646,408702.2628944556,68.35732335286689,,,,53627.846839027006
LHS Autogenerated 26,06fdf966-605b-4127-8abb-f7c7effbb184,2017-05-25T16:55:01.903Z,2017-05-25T16:57:52.253Z,completed,completed normal,7.7447554740970705,0.0,402413.8888888889,19563.888888888934,68.10066009451184,-2.2747610887519585,402413.66203632497,68.10199568643003,,,,53627.846839027006
LHS Autogenerated 8,094c52be-985c-4f6b-a427-ed1453c4483c,2017-05-25T16:54:59.987Z,2017-05-25T16:57:47.251Z,completed,completed normal,7.836816986950074,0.0,402183.3333333333,19794.444444444496,68.12909460812125,-2.30319560236137,402184.5627605084,68.13186844584058,,,,53627.846839027006
LHS Autogenerated 87,0b2b1936-83fb-40ee-8abd-5b20f7b5775d,2017-05-25T16:57:54.000Z,2017-05-25T17:00:35.725Z,completed,completed normal,8.585374898431176,0.0,400297.2222222222,21680.55555555562,68.36604888819956,-2.540149882439678,400298.3240784139,68.36148547883309,,,,53627.846839027006
LHS Autogenerated 113,0c08d162-c7e7-4785-afba-4d254f58006a,2017-05-25T17:00:33.444Z,2017-05-25T17:03:13.280Z,completed,completed normal,0.0,9.791201463065192,409863.8888888889,12113.888888888934,68.11961643691811,-2.2937174311582282,409864.80943616945,68.12030527326569,,,,53627.846839027006
LHS Autogenerated 171,0cff1e93-d7e2-4721-8e11-4ac95e6f70d2,2017-05-25T17:03:18.275Z,2017-05-25T17:05:59.415Z,completed,completed normal,0.0,7.314030962883031,412936.1111111111,9041.666666666686,67.50353530871445,-1.6776363029545678,412936.964647775,67.50785740824945,,,,53627.846839027006
