name,_id,run_start_time,run_end_time,status,status_message,reduceelectricequipmentloadsbypercentage.elecequip_power_reduction_percent,reducelightingloadsbypercentage.lighting_power_reduction_percent,CompareBaseline.total_electric,CompareBaseline.total_electric_savings,CompareBaseline.total_gas,CompareBaseline.total_gas_savings,OpenStudioResults.electricity_ip,OpenStudioResults.natural_gas_ip,OpenStudioResults.time_setpoint_not_met_during_occupied_cooling,OpenStudioResults.time_setpoint_not_met_during_occupied_heating,OpenStudioResults.time_setpoint_not_met_during_occupied_hours,OpenStudioResults.total_building_area
LHS Autogenerated 38,00377585-437f-40ec-9f8c-dbd49f08b945,2017-05-25T17:08:12.751Z,2017-05-25T17:10:55.907Z,completed,completed normal,10.091406749716265,8.994147402581572,385477.7777777778,36500.0,71.33271647478026,-5.506817469020376,385477.6267205834,71.33233025152109,,,,53627.846839027006
LHS Autogenerated 215,02de1a48-6214-4569-b6bc-9863c4bbc06c,2017-05-25T17:19:06.788Z,2017-05-25T17:21:48.278Z,completed,completed normal,11.064066105265876,11.477786347220805,379994.44444444444,41983.33333333337,72.45114067674997,-6.625241670990093,379994.4707271194,72.45535008220368,,,,53627.846839027006
LHS Autogenerated 271,04dbd73e-a455-4814-923f-6afd35cae2f3,2017-05-25T17:24:05.994Z,2017-05-25T17:26:39.096Z,completed,completed normal,11.25418869478257,12.026075708583276,378844.44444444444,43133.33333333337,72.69757312803144,-6.871674122271557,378844.4346626805,72.70131308476472,,,,53627.846839027006
LHS Autogenerated 299,051b259d-4edb-433e-a6bd-163e67cf01fa,2017-05-25T17:24:21.779Z,2017-05-25T17:26:56.504Z,completed,completed normal,8.468775166077954,9.674873922074823,388691.6666666667,33286.111111111124,70.93463328424866,-5.108734278488782,388692.49611557496,70.93447847531641,,,,53627.846839027006
LHS Autogenerated 211,05d15e27-c43a-4d24-8139-454a5848fe94,2017-05-25T17:19:05.201Z,2017-05-25T17:21:46.287Z,completed,completed normal,10.85978924302784,10.499311991111597,381716.6666666667,40261.111111111124,72.07201382862465,-6.246114822864769,381715.3296967861,72.07367635799277,,,,53627.846839027006
LHS Autogenerated 132,0697afb3-8c90-40d2-af8d-08f25e077e87,2017-05-25T17:13:47.177Z,2017-05-25T17:16:24.882Z,completed,completed normal,8.15707809042982,11.280062939688868,387513.8888888889,34463.888888888934,71.28532561876459,-5.459426613004709,387514.12016398064,71.28161505618131,,,,53627.846839027006
LHS Autogenerated 291,075cb353-7f9d-43d4-9a01-9d65bfe08f97,2017-05-25T17:24:18.282Z,2017-05-25T17:26:52.618Z,completed,completed normal,13.985298606589222,9.53951726959604,375063.8888888889,46913.888888888934,73.01035277773482,-7.184453771974944,375063.6567932416,73.0087150828055,,,,53627.846839027006
LHS Autogenerated 188,07f68496-45c7-4ecf-81ca-6b00ed6f57e9,2017-05-25T17:18:55.433Z,2017-05-25T17:21:35.974Z,completed,completed normal,14.017220542611199,6.271158067443623,378986.1111111111,42991.666666666686,72.00566663020271,-6.179767624442832,378987.0935833972,72.00892986342534,,,,53627.846839027006
LHS Autogenerated 48,08391ea7-e910-41d1-9022-f753b8270693,2017-05-25T17:10:53.036Z,2017-05-25T17:13:34.615Z,completed,completed normal,9.261479964084916,10.154213956783533,386136.1111111111,35841.666666666686,71.3706291595928,-5.544730153832916,386135.75958914723,71.36598029544231,,,,53627.846839027006
LHS Autogenerated 109,085e32f6-f724-4dbd-9c7a-93cebcad252a,2017-05-25T17:13:39.537Z,2017-05-25T17:16:22.936Z,completed,completed normal,8.438980118170086,6.826170425259874,392272.2222222222,29705.55555555562,70.1195105607792,-4.293611555019325,392272.1217835861,70.1200410909863,,,,53627.846839027006
